Warning: {
	Model use is disabled for problem with categorical variables.
} 
Warning: {
	Anisotropic mesh are not supported with categorical and binary variables.
} 

MADS run {

	BBE	(	SOL	)	OBJ

	2251+228	(	2 0 4091.7061404988 2 5908.2938545806 )	53.7844767353 (ExtendedPoll)
	2251+237	(	2 0 4091.7061392073 2 5908.2938580748 )	53.7844767152 (ExtendedPoll)
	2251+242	(	2 0 4091.7061402086 2 5908.2938596455 )	53.7844766917 (ExtendedPoll)
	2251+251	(	2 0 4091.7061402086 2 5908.2938597496 )	53.7844766907 (ExtendedPoll)
	2507+6	(	2 0 4987.7715032480 2 5009.7172875975 )	55.8778410034 (ExtendedPoll)
	2507+7	(	2 0 4951.0860129922 2 5038.8691503901 )	55.8090330212 (ExtendedPoll)
	2507+8	(	2 0 4804.3440519688 2 5155.4766015605 )	55.5765193455 (ExtendedPoll)
	2507+9	(	2 0 4217.3762078751 2 5621.9064062421 )	55.4051303015 (ExtendedPoll)
	2507+11	(	2 0 4105.5728090001 2 5845.5132039921 )	54.2371769988 (ExtendedPoll)
	2507+17	(	2 0 4084.6096717110 2 5904.9087596444 )	53.8806341533 (ExtendedPoll)
	2507+25	(	2 0 4086.4930785768 2 5912.4969786111 )	53.7940773323 (ExtendedPoll)
	2507+28	(	2 0 4089.6866815232 2 5910.2450790976 )	53.7852355401 (ExtendedPoll)
	2507+40	(	2 0 4089.7473972443 2 5910.2388432578 )	53.7847342099 (ExtendedPoll)
	2507+48	(	2 0 4089.7542955796 2 5910.2355843266 )	53.7847005125 (ExtendedPoll)
	2507+49	(	2 0 4089.7673972155 2 5910.2277626627 )	53.7846513996 (ExtendedPoll)
	2507+51	(	2 0 4089.7801055712 2 5910.2193169774 )	53.7846115945 (ExtendedPoll)
	2507+62	(	2 0 4089.7805040628 2 5910.2190551032 )	53.7846103195 (ExtendedPoll)
	2507+63	(	2 0 4089.7816995375 2 5910.2182694805 )	53.7846064942 (ExtendedPoll)
	2507+73	(	2 0 4089.7816945523 2 5910.2182988629 )	53.7846062720 (ExtendedPoll)
	2507+80	(	2 0 4089.7816938911 2 5910.2183025290 )	53.7846062447 (ExtendedPoll)
	2507+83	(	2 0 4089.7816931323 2 5910.2183061762 )	53.7846062184 (ExtendedPoll)
	2507+86	(	2 0 4089.7816946030 2 5910.2183050332 )	53.7846062153 (ExtendedPoll)
	2507+97	(	2 0 4089.7816947071 2 5910.2183050332 )	53.7846062143 (ExtendedPoll)
	2609+6	(	2 0 4993.6127941072 2 5004.5037990269 )	55.8961392637 (ExtendedPoll)
	2609+7	(	2 0 4974.4511764290 2 5018.0151961078 )	55.8801113087 (ExtendedPoll)
	2609+8	(	2 0 4897.8047057158 2 5072.0607844311 )	55.8259328921 (ExtendedPoll)
	2609+9	(	2 0 4591.2188228633 2 5288.2431377246 )	55.7773330381 (ExtendedPoll)
	2609+12	(	2 0 4584.2311104336 2 5414.0219614589 )	54.4414663757 (ExtendedPoll)
	2609+22	(	2 0 4587.3564740008 2 5411.6745268146 )	54.4410956907 (ExtendedPoll)
	2609+29	(	2 0 4587.5587397857 2 5412.1189357716 )	54.4345618898 (ExtendedPoll)
	2609+33	(	2 0 4587.4405737045 2 5412.3325570157 )	54.4332122013 (ExtendedPoll)
	2609+34	(	2 0 4587.0527821074 2 5412.6292916912 )	54.4331973113 (ExtendedPoll)
	2609+35	(	2 0 4585.8894073161 2 5413.5194957176 )	54.4331558220 (ExtendedPoll)
	2609+36	(	2 0 4581.2359081511 2 5417.0803118233 )	54.4330376116 (ExtendedPoll)
	2609+38	(	2 0 4579.3525012852 2 5420.4991047210 )	54.4114704020 (ExtendedPoll)
	2609+39	(	2 0 4573.3201401643 2 5425.4669315265 )	54.4076771370 (ExtendedPoll)
	2609+40	(	2 0 4555.2230568015 2 5440.3704119429 )	54.3971432812 (ExtendedPoll)
	2609+41	(	2 0 4482.8347233502 2 5499.9843336087 )	54.3678394409 (ExtendedPoll)
	2609+49	(	2 0 4485.3459325046 2 5507.3814823136 )	54.2681454161 (ExtendedPoll)
	2609+50	(	2 0 4475.1919128802 2 5519.2824300454 )	54.2285251876 (ExtendedPoll)
	2609+51	(	2 0 4444.7298540071 2 5554.9852732408 )	54.1136470777 (ExtendedPoll)
	2609+58	(	2 0 4443.9800738281 2 5555.6109430488 )	54.1135341068 (ExtendedPoll)
	2609+59	(	2 0 4441.7307332914 2 5557.4879524728 )	54.1132091099 (ExtendedPoll)
	2609+60	(	2 0 4432.7333711444 2 5564.9959901689 )	54.1121181220 (ExtendedPoll)
	2609+61	(	2 0 4396.7439225563 2 5595.0281409531 )	54.1111148301 (ExtendedPoll)
	2609+63	(	2 0 4386.2623539118 2 5606.6015396648 )	54.0828747897 (ExtendedPoll)
	2609+64	(	2 0 4354.8176479782 2 5641.3217357998 )	54.0021675011 (ExtendedPoll)
	2609+67	(	2 0 4332.5443146086 2 5663.1583371426 )	53.9763377152 (ExtendedPoll)
	2609+68	(	2 0 4265.7243144997 2 5728.6681411709 )	53.9145504521 (ExtendedPoll)
	2609+69	(	2 0 3998.4443140642 2 5990.7073572841 )	53.9107416673 (ExtendedPoll)
	2609+77	(	2 0 3977.9179088020 2 6014.2908867343 )	53.8968485442 (ExtendedPoll)
	2609+85	(	2 0 3977.6108315956 2 6018.1873552864 )	53.8658100136 (ExtendedPoll)
	2609+87	(	2 0 3985.4720080790 2 6010.4353618097 )	53.8594585168 (ExtendedPoll)
	2609+88	(	2 0 4009.0555375292 2 5987.1793813797 )	53.8425419841 (ExtendedPoll)
	2609+89	(	2 0 4103.3896553299 2 5894.1554596595 )	53.8066758321 (ExtendedPoll)
	2609+98	(	2 0 4105.0239884617 2 5893.0858073906 )	53.8015202481 (ExtendedPoll)
	2609+99	(	2 0 4109.9269878569 2 5889.8768505839 )	53.7861093451 (ExtendedPoll)
	2609+108	(	2 0 4110.1419152454 2 5889.7610302313 )	53.7852071379 (ExtendedPoll)
	2609+116	(	2 0 4110.1058896513 2 5889.8103005292 )	53.7850837032 (ExtendedPoll)
	2609+117	(	2 0 4109.9978128689 2 5889.9581114227 )	53.7847134692 (ExtendedPoll)
	2609+120	(	2 0 4110.1308929863 2 5889.8481353998 )	53.7845067680 (ExtendedPoll)
	2609+123	(	2 0 4110.2185046189 2 5889.7631360559 )	53.7844866226 (ExtendedPoll)
	2609+124	(	2 0 4110.4813395169 2 5889.5081380242 )	53.7844264399 (ExtendedPoll)
	2609+134	(	2 0 4110.4929230099 2 5889.4982056417 )	53.7844117835 (ExtendedPoll)
	2609+135	(	2 0 4110.5276734889 2 5889.4684084945 )	53.7843678178 (ExtendedPoll)
	2609+142	(	2 0 4110.5308528491 2 5889.4663005158 )	53.7843581081 (ExtendedPoll)
	2609+143	(	2 0 4110.5369402846 2 5889.4617014955 )	53.7843446963 (ExtendedPoll)
	2609+148	(	2 0 4110.5385864786 2 5889.4607381551 )	53.7843384902 (ExtendedPoll)
	2609+154	(	2 0 4110.5389368624 2 5889.4610615818 )	53.7843323072 (ExtendedPoll)
	2609+174	(	2 0 4110.5389372789 2 5889.4610615818 )	53.7843323034 (ExtendedPoll)
	2609+179	(	2 0 4110.5389372789 2 5889.4610619983 )	53.7843322995 (ExtendedPoll)
	2609+185	(	2 0 4110.5389372789 2 5889.4610621024 )	53.7843322986 (ExtendedPoll)
	2609+186	(	2 0 4110.5389372789 2 5889.4610624148 )	53.7843322957 (ExtendedPoll)
	2609+193	(	2 0 4110.5389373050 2 5889.4610624148 )	53.7843322955 (ExtendedPoll)
	2609+194	(	2 0 4110.5389373831 2 5889.4610624148 )	53.7843322947 (ExtendedPoll)
	2808+6	(	2 0 4329.1796067501 2 5670.8203932499 )	53.9289318169 (ExtendedPoll)
	2867+10	(	2 0 4992.1115277649 2 5007.7246977250 )	55.8685413615 (ExtendedPoll)
	2867+11	(	2 0 4968.4461110597 2 5030.8987909000 )	55.7705699043 (ExtendedPoll)
	2867+12	(	2 0 4873.7844442388 2 5123.5951636001 )	55.4016911655 (ExtendedPoll)
	2867+13	(	2 0 4495.1377769551 2 5494.3806544003 )	54.3231819620 (ExtendedPoll)
	2867+15	(	2 0 4411.2852277989 2 5585.2209159863 )	54.0868469342 (ExtendedPoll)
	2867+22	(	2 0 4407.4365268122 2 5592.0175581542 )	54.0499159225 (ExtendedPoll)
	2867+28	(	2 0 4405.3364599175 2 5593.8105478426 )	54.0495510124 (ExtendedPoll)
	2867+29	(	2 0 4399.0362592332 2 5599.1895169077 )	54.0485700853 (ExtendedPoll)
	2867+30	(	2 0 4373.8354564960 2 5620.7053931683 )	54.0463593230 (ExtendedPoll)
	2867+33	(	2 0 4369.7137979926 2 5627.3382608261 )	54.0145749170 (ExtendedPoll)
	2867+40	(	2 0 4368.6287918634 2 5628.9623580510 )	54.0074781800 (ExtendedPoll)
	2867+41	(	2 0 4365.3737734757 2 5633.8346497256 )	53.9862560504 (ExtendedPoll)
	2867+43	(	2 0 4362.6919658733 2 5636.6802318381 )	53.9806946516 (ExtendedPoll)
	2867+44	(	2 0 4354.6465430661 2 5645.2169781755 )	53.9642607181 (ExtendedPoll)
	2867+50	(	2 0 4354.0247117231 2 5645.9701703234 )	53.9620624682 (ExtendedPoll)
	2867+61	(	2 0 4354.0368388529 2 5645.9609094433 )	53.9620504600 (ExtendedPoll)
	2867+65	(	2 0 4354.0401585606 2 5645.9590302273 )	53.9620405451 (ExtendedPoll)
	2867+71	(	2 0 4354.0409392116 2 5645.9584824325 )	53.9620392835 (ExtendedPoll)
	2867+74	(	2 0 4354.0405359427 2 5645.9593466482 )	53.9620340616 (ExtendedPoll)
	2867+87	(	2 0 4354.0405617934 2 5645.9593318187 )	53.9620339864 (ExtendedPoll)
	2867+88	(	2 0 4354.0406393458 2 5645.9592873300 )	53.9620337607 (ExtendedPoll)
	2867+89	(	2 0 4354.0407417896 2 5645.9592263700 )	53.9620334847 (ExtendedPoll)
	2867+98	(	2 0 4354.0407563620 2 5645.9592294825 )	53.9620333264 (ExtendedPoll)
	2867+99	(	2 0 4354.0407811713 2 5645.9592129695 )	53.9620332772 (ExtendedPoll)
	2867+106	(	2 0 4354.0407786145 2 5645.9592156788 )	53.9620332721 (ExtendedPoll)
	2867+107	(	2 0 4354.0407709439 2 5645.9592238067 )	53.9620332568 (ExtendedPoll)
	2867+108	(	2 0 4354.0407402615 2 5645.9592563181 )	53.9620331954 (ExtendedPoll)
	2867+114	(	2 0 4354.0407434536 2 5645.9592543977 )	53.9620331870 (ExtendedPoll)
	2867+122	(	2 0 4354.0407434536 2 5645.9592560637 )	53.9620331701 (ExtendedPoll)
	2867+123	(	2 0 4354.0407422389 2 5645.9592574757 )	53.9620331665 (ExtendedPoll)
	3058+8	(	2 0 4991.1561764562 2 5006.6055719062 )	55.8895337846 (ExtendedPoll)
	3058+9	(	2 0 4964.6247058247 2 5026.4222876248 )	55.8543769246 (ExtendedPoll)
	3058+10	(	2 0 4858.4988232988 2 5105.6891504990 )	55.7342678543 (ExtendedPoll)
	3058+11	(	2 0 4433.9952931954 2 5422.7566019961 )	55.6083992097 (ExtendedPoll)
	3058+16	(	2 0 4468.9338553438 2 5473.4175171113 )	54.7683907188 (ExtendedPoll)
	3058+17	(	2 0 4371.1058813282 2 5557.2700662675 )	54.7224471575 (ExtendedPoll)
	3058+22	(	2 0 4374.5997375430 2 5620.1594781347 )	54.0452990385 (ExtendedPoll)
	3058+26	(	2 0 4353.6366002540 2 5643.3062755580 )	53.9923716603 (ExtendedPoll)
	3058+34	(	2 0 4352.3741717388 2 5647.0048499105 )	53.9659824019 (ExtendedPoll)
	3058+41	(	2 0 4352.7757178358 2 5646.7270943123 )	53.9652910126 (ExtendedPoll)
	3058+42	(	2 0 4353.9803561267 2 5645.8938275179 )	53.9632201609 (ExtendedPoll)
	3058+50	(	2 0 4353.8820221150 2 5646.1172848288 )	53.9618183016 (ExtendedPoll)
	3058+67	(	2 0 4353.8828862995 2 5646.1168814928 )	53.9618148524 (ExtendedPoll)
	3058+70	(	2 0 4353.8819301637 2 5646.1178326989 )	53.9618135661 (ExtendedPoll)
	3058+71	(	2 0 4353.8790617562 2 5646.1206863173 )	53.9618097072 (ExtendedPoll)
	3058+72	(	2 0 4353.8675881265 2 5646.1321007910 )	53.9617942721 (ExtendedPoll)
	3058+73	(	2 0 4353.8216936077 2 5646.1777586857 )	53.9617325386 (ExtendedPoll)
	3058+74	(	2 0 4353.6381155322 2 5646.3603902646 )	53.9614857168 (ExtendedPoll)
	3058+75	(	2 0 4352.9038032305 2 5647.0909165803 )	53.9605002241 (ExtendedPoll)
	3058+76	(	2 0 4349.9665540238 2 5650.0130218428 )	53.9565869794 (ExtendedPoll)
	3058+77	(	2 0 4338.2175571967 2 5661.7014428928 )	53.9413943430 (ExtendedPoll)
	3058+78	(	2 0 4291.2215698885 2 5708.4551270929 )	53.8880355778 (ExtendedPoll)
	3058+79	(	2 0 4103.2376206554 2 5895.4698638933 )	53.7960048025 (ExtendedPoll)
	3058+83	(	2 0 4103.0824826918 2 5895.9328254315 )	53.7931789654 (ExtendedPoll)
	3058+84	(	2 0 4102.6170688008 2 5897.3217100462 )	53.7847063488 (ExtendedPoll)
	3058+88	(	2 0 4102.3017815441 2 5897.6944676551 )	53.7841793274 (ExtendedPoll)
	3058+104	(	2 0 4102.3028217662 2 5897.6960663778 )	53.7841551305 (ExtendedPoll)
	3058+106	(	2 0 4102.3045951993 2 5897.6953642985 )	53.7841453060 (ExtendedPoll)
	3058+116	(	2 0 4102.3046242597 2 5897.6953709067 )	53.7841449789 (ExtendedPoll)
	3058+126	(	2 0 4102.3046246516 2 5897.6953727277 )	53.7841449586 (ExtendedPoll)
	3058+128	(	2 0 4102.3046253455 2 5897.6953744562 )	53.7841449364 (ExtendedPoll)
	3058+140	(	2 0 4102.3046253471 2 5897.6953744562 )	53.7841449364 (ExtendedPoll)
	3058+141	(	2 0 4102.3046253520 2 5897.6953744562 )	53.7841449364 (ExtendedPoll)
	3058+142	(	2 0 4102.3046253715 2 5897.6953744562 )	53.7841449362 (ExtendedPoll)
	3058+143	(	2 0 4102.3046254496 2 5897.6953744562 )	53.7841449355 (ExtendedPoll)
	3211+9	(	2 0 4999.2843395107 2 5000.6644809549 )	55.8991235044 (ExtendedPoll)
	3211+10	(	2 0 4997.1373580427 2 5002.6579238197 )	55.8914071579 (ExtendedPoll)
	3211+11	(	2 0 4988.5494321709 2 5010.6316952788 )	55.8607138749 (ExtendedPoll)
	3211+12	(	2 0 4954.1977286835 2 5042.5267811150 )	55.7407142386 (ExtendedPoll)
	3211+13	(	2 0 4816.7909147341 2 5170.1071244602 )	55.3063592103 (ExtendedPoll)
	3211+14	(	2 0 4267.1636589366 2 5680.4284978408 )	54.3782156485 (ExtendedPoll)
	3211+16	(	2 0 4258.4290183995 2 5741.5709816005 )	53.8530873348 (ExtendedPoll)
	3275+16	(	2 0 4999.4544048385 2 5000.4231907750 )	55.9007514521 (ExtendedPoll)
	3275+17	(	2 0 4997.8176193541 2 5001.6927631002 )	55.8979127990 (ExtendedPoll)
	3275+18	(	2 0 4991.2704774163 2 5006.7710524007 )	55.8866378337 (ExtendedPoll)
	3275+19	(	2 0 4965.0819096653 2 5027.0842096030 )	55.8428188421 (ExtendedPoll)
	3275+20	(	2 0 4860.3276386613 2 5108.3368384118 )	55.6884538793 (ExtendedPoll)
	3275+21	(	2 0 4441.3105546452 2 5433.3473536473 )	55.4321933111 (ExtendedPoll)
	3275+24	(	2 0 4440.4370905915 2 5464.7920595809 )	55.1023491348 (ExtendedPoll)
	3275+25	(	2 0 4437.8166984304 2 5559.1261773817 )	54.1296401397 (ExtendedPoll)
	3275+28	(	2 0 4394.1434957448 2 5604.5463081746 )	54.0358312283 (ExtendedPoll)
	3275+31	(	2 0 4348.7233649518 2 5648.2195108602 )	53.9855229289 (ExtendedPoll)
	3275+32	(	2 0 4212.4629725730 2 5779.2391189168 )	53.8982210340 (ExtendedPoll)
	3275+39	(	2 0 4246.9648026945 2 5751.7250012249 )	53.8561122313 (ExtendedPoll)
	3275+44	(	2 0 4253.1063468222 2 5746.8663574261 )	53.8487569023 (ExtendedPoll)
	3275+54	(	2 0 4253.0200213419 2 5746.9526629144 )	53.8486838339 (ExtendedPoll)
	3275+55	(	2 0 4252.7610449010 2 5747.2115793792 )	53.8484648755 (ExtendedPoll)
	3275+56	(	2 0 4251.7251391376 2 5748.2472452386 )	53.8475927460 (ExtendedPoll)
	3275+57	(	2 0 4247.5815160840 2 5752.3899086759 )	53.8441635235 (ExtendedPoll)
	3275+58	(	2 0 4231.0070238695 2 5768.9605624254 )	53.8313972696 (ExtendedPoll)
	3275+59	(	2 0 4164.7090550115 2 5835.2431774231 )	53.7956619398 (ExtendedPoll)
	3275+72	(	2 0 4164.7639497269 2 5835.2164964256 )	53.7954160381 (ExtendedPoll)
	3275+76	(	2 0 4164.7917332002 2 5835.2038710575 )	53.7952833211 (ExtendedPoll)
	3275+77	(	2 0 4164.8360404827 2 5835.1618928437 )	53.7952771546 (ExtendedPoll)
	3275+85	(	2 0 4164.8422068711 2 5835.1574002652 )	53.7952636014 (ExtendedPoll)
	3275+97	(	2 0 4164.8424175700 2 5835.1572886885 )	53.7952627439 (ExtendedPoll)
	3275+102	(	2 0 4164.8423842792 2 5835.1574031550 )	53.7952619685 (ExtendedPoll)
	3275+109	(	2 0 4164.8424622828 2 5835.1574351058 )	53.7952609619 (ExtendedPoll)
	3275+110	(	2 0 4164.8424186334 2 5835.1575460363 )	53.7952603135 (ExtendedPoll)
	3275+117	(	2 0 4164.8424468760 2 5835.1575365215 )	53.7952601474 (ExtendedPoll)
	3275+121	(	2 0 4164.8424209888 2 5835.1575697812 )	53.7952600688 (ExtendedPoll)
	3275+129	(	2 0 4164.8424239711 2 5835.1575675489 )	53.7952600628 (ExtendedPoll)
	3275+130	(	2 0 4164.8424329181 2 5835.1575608518 )	53.7952600448 (ExtendedPoll)
	3275+135	(	2 0 4164.8424361867 2 5835.1575626390 )	53.7952599984 (ExtendedPoll)
	3275+138	(	2 0 4164.8424402468 2 5835.1575592816 )	53.7952599933 (ExtendedPoll)
	3275+145	(	2 0 4164.8424410483 2 5835.1575588074 )	53.7952599905 (ExtendedPoll)
	3275+147	(	2 0 4164.8424392431 2 5835.1575607257 )	53.7952599888 (ExtendedPoll)
	3436	(	3 0 3333.3333333333 2 3333.3333333333 1 3333.3333333333 )	47.1682905221

} end of run (mesh size reached NOMAD precision)

blackbox evaluations                     : 3436
best feasible solution                   : ( 3 0 3333.333333 2 3333.333333 1 3333.333333 ) h=0 f=47.16829052
